CodHotel;Nombre;NumHabitaciones;Localidad;Dirección
HBI01056;ABANDO;70;Bilbao;Colón de Larreategui  9
HBI01124;ARTETXE;14;Bilbao;Enekuri-Artxanda Errepidea 7
HBI01130;Abba Euskalduna Bilbao;75;Bilbao;Camino Ventosa 34
HBI00614;BARCELO BILBAO NERVION;48;Bilbao;Campo Volantín11
HBI01180;BILBAO JARDINES;72;Bilbao;Jardines  9
HBI00824;BILBI;34;Bilbao;Miribilla  8
HBI00003;CARLTON;30;Bilbao;Federico Moyua Plaza 2
HBI01307;CATALONIA GRAN VIA BILBAO;16;Bilbao;Gran Vía Don Diego López de Haro, 73
HBI00575;ERCILLA;70;Bilbao;Ercilla 37-A
HBI01036;ESTADIO;93;Bilbao;Juan Antonio Zunzunegui etorbidea 10
HBI01233;GRAN BILBAO;23;Bilbao;Indalecio Prieto Etorbidea 1
HBI01201;HESPERIA BILBAO;44;Bilbao;Fontecha y Salazar  2-A
HBI00337;HOLIDAY INN BILBAO;48;Bilbao;Zumalacárregui  40
HBI01209;IBIS BILBAO CENTRO;2;Bilbao;General Concha  28
HBI01306;ILUNION SAN MAMÉS;46;Bilbao;Pérez Galdós Kalea
HBI01053;INDAUTXU;70;Bilbao;Plaza del Bombero Echániz, s/n
HBI01049;LOPEZ DE HARO;35;Bilbao;Obispo Orueta  2
HBI01176;MELIA BILBAO;5;Bilbao;Lehendakari Leizaola  29
HBI01159;MIRO;40;Bilbao;Mazarredo Zumardia, 77
HBI01060;NH DEUSTO;63;Bilbao;Francesc Maciá  9
HBI00740;NH VILLA DE BILBAO;39;Bilbao;Gran Vía Don Diego López de Haro  87
HBI01059;RIPA;20;Bilbao;Ripa  3
HBI01232;SERCOTEL COLISEO;30;Bilbao;Urquijo Zumardia 13
HBI01086;SIRIMIRI;50;Bilbao;Encarnación  3
HBI01029;VISTA ALEGRE;79;Bilbao;Pablo Picasso  13
HBI00545;ZABALBURU;19;Bilbao;Pedro Martínez Artola  8
HBI01178;ZENIT BILBAO;79;Bilbao;Autonomía  58